node_count,simulation_time,sim_params,total_tx_created,main_chain_length,total_tx_in_mainchain,total_stale_blocks,avg_depth_stale_blocks,avg_blocks_per_node,avg_inter_block_time,avg_messages_per_block
50,100.0,"{'mine': 1}",3793,400,3332,5,1.40,	8.00,0.59,1226.79
50,5.0,"{'mine': 2}",495,18,372,1,1.00,0.36,0.36,1057.12
50,5.0,"{'mine': 4}",1014,21,912,0,0.00,0.42,0.68,1662.00
50,1.0,"{'mine': 8}",378,4,82,0,0.00,0.08,0.54,809.75
50,2.5,"{'mine': 16}",1921,10,1679,1,1.00,0.20,21.68,1223.30
50,2.5,"{'mine': 32}",4020,10,1934,0,0.00,0.20,98.26,1354.50
50,0.5,"{'mine': 64}",1606,1,200,0,0.00,0.02,nan,1594.00
50,1.0,"{'mine': 128}",6347,3,600,1,1.00,0.06,2564.62,2857.33
