node_count,simulation_time,sim_params,total_tx_created,main_chain_length,total_tx_in_mainchain,total_stale_blocks,avg_depth_stale_blocks,avg_blocks_per_node,avg_inter_block_time,avg_messages_per_block
50,100.0,"{'mine': 1}",4040,412,3577,3,1.00,8.24,0.58,1209.51
50,5.0,"{'mine': 2}",518,18,467,1,1.00,0.36,0.33,1280.33
50,5.0,"{'mine': 4}",1037,21,942,0,0.00,0.42,0.68,1162.00
50,5.0,"{'mine': 8}",2000,15,1823,1,1.00,0.30,10.89,1627.47
50,2.5,"{'mine': 16}",1991,13,1892,1,1.00,0.26,11.90,1041.54
50,2.5,"{'mine': 32}",3919,14,2613,0,0.00,0.28,125.12,1023.21
50,2.5,"{'mine': 64}",7968,10,2000,2,1.00,0.20,1402.98,1714.30
50,1.0,"{'mine': 128}",6347,3,600,1,1.00,0.06,2475.63,2827.67
