node_count,simulation_time,sim_params,total_tx_created,main_chain_length,total_tx_in_mainchain,total_stale_blocks,avg_depth_stale_blocks,avg_blocks_per_node,avg_inter_block_time,avg_messages_per_block
50,100.0,"{'mine': 1}",4330,379,3826,0,0.00,7.58,0.61,1312.98
50,25.0,"{'mine': 2}",2533,104,1983,1,1.00,2.08,4.88,1165.65
50,25.0,"{'mine': 4}",4952,102,3972,1,1.00,2.04,37.63,1246.09
50,5.0,"{'mine': 8}",1980,17,1902,1,1.00,0.34,13.66,1459.65
50,5.0,"{'mine': 16}",4008,22,3786,1,1.00,0.44,91.98,1237.59
50,2.5,"{'mine': 32 }",4063,12,2011,1,1.00,0.24,150.66,1283.33
50,5.0,"{'mine': 64}",16160,100,2000,0,0.00,0.02,0,1580.00
50,5.0,"{'mine': 128}",32620,20,4000,1,1.00,0.40,200
