node_count,simulation_time,sim_params,total_tx_created,total_slots,total_tx_in_all_slots,avg_txs_per_slot,avg_inter_slot_time,messages_per_slot_finalisation
100,5.0,"{'mine': 1}",520,200,170,0.85,1.14,33737.50
100,5.0,"{'mine': 2}",1005,400,291,0.73,0.60,12861.50
100,5.0,"{'mine': 4}",2067,300,400,1.33,0.64,18567.00
100,5.0,"{'mine': 8}",4014,200,400,2.00,0.90,28184.50
100,5.0,"{'mine': 16}",8000,200,235,1.18,0.68,27920.50
100,5.0,"{'mine': 32}",15860,200,400,2.00,0.87,27492.00
100,5.0,"{'mine': 64}",32102,200,282,1.41,0.72,29264.00
100,5.0,"{'mine': 128}",64286,200,400,2.00,0.48,26936.00
