node_count,simulation_time,sim_params,total_tx_created,total_slots,total_tx_in_all_slots,avg_txs_per_slot,avg_inter_slot_time,messages_per_slot_finalisation
100,5.0,"{'mine': 1}",516,100,69,0.69,0.00,66934.00
100,5.0,"{'mine': 2}",954,200,260,1.30,0.85,15721.12
100,5.0,"{'mine': 4}",1990,400,631,1.58,0.44,13507.25
100,5.0,"{'mine': 8}",3981,500,727,1.45,0.50,11890.00
100,5.0,"{'mine': 16}",7973,600,895,1.49,0.41,9206.50
100,5.0,"{'mine': 32}",16007,300,541,1.80,0.60,18870.33
100,5.0,"{'mine': 64}",31866,500,742,1.48,0.52,11825.80
100,5.0,"{'mine': 128}",63369,500,845,1.69,0.45,11194.00
