node_count,simulation_time,sim_params,total_tx_created,total_slots,total_tx_in_all_slots,avg_txs_per_slot,avg_inter_slot_time,messages_per_slot_finalisation
100,5.0,"{'mine': 1}",485,300,229,0.76,0.64,20508.33
100,5.0,"{'mine': 2}",1027,300,444,1.48,0.97,16881.00
100,5.0,"{'mine': 4}",2000,400,512,1.28,0.68,14550.25
100,5.0,"{'mine': 8}",3969,600,648,1.08,0.57,9414.17
100,5.0,"{'mine': 16}",7989,300,407,1.36,0.45,18313.00
100,5.0,"{'mine': 32}",15953,300,462,1.54,0.51,18265.00
100,5.0,"{'mine': 64}",31855,500,826,1.65,0.73,11597.60
100,5.0,"{'mine': 128}",63357,300,415,1.38,0.51,19149.33
