node_count,simulation_time,sim_params,total_tx_created,total_slots,total_tx_in_all_slots,avg_txs_per_slot,avg_inter_slot_time,messages_per_slot
100,50.0,"{'mine': 1}",4886,300,462,1.54,5.43,1085792.00
100,50.0,"{'mine': 2}",9859.6,200,400,2.00,7.03,1510480.80
100,50.0,"{'mine': 4}",19788.4,200,400,2.00,6.22,1539044.80
100,50.0,"{'mine': 8}",39784.8,200,400,2.00,6.18,1588722.00
100,50.0,"{'mine': 16}",80225.6,200,400,2.00,8.17,1610086.80
100,50.0,"{'mine': 32}",159809.8,200,400,2.00,5.85,1549700.90
100,50.0,"{'mine': 64}",319897.8,200,400,2.00,6.49,1588742.60
