node_count,simulation_time,sim_params,total_tx_created,total_slots,total_tx_in_all_slots,avg_txs_per_slot,avg_inter_slot_time,messages_per_slot
100,50.0,"{'mine': 1}",4987,200,400,2.00,5.65,1590084.50
100,50.0,"{'mine': 2}",9884,200,400,2.00,7.27,1529547.00
100,50.0,"{'mine': 4}",19753,200,400,2.00,7.85,1537221.00
100,50.0,"{'mine': 8}",39784,200,400,2.00,6.40,1557006.00
100,50.0,"{'mine': 16}",80245,200,400,2.00,7.28,1654881.00
100,50.0,"{'mine': 32}",160025,200,400,2.00,4.62,1566994.50
100,50.0,"{'mine': 64}",319942,200,400,2.00,7.36,1646181.00
