node_count,simulation_time,sim_params,total_tx_created,total_slots,total_tx_in_all_slots,avg_txs_per_slot,avg_inter_slot_time,messages_per_slot_finalisation
100,5.0,"{'mine': 1}",994,400,194,0.48,0.72,16375.75
100,20.0,"{'mine': 2}",3988.4,1500,2547.2,1.67,1.07,19763.59
100,20.0,"{'mine': 4}",8036.4,1500,2382.2,1.56,1.03,19667.90
100,20.0,"{'mine': 8}",15985.8,1400,2136.4,1.58,0.97,23324.14
100,20.0,"{'mine': 16}",32020.4,1400,2061.8,1.50,1.07,22015.30
100,20.0,"{'mine': 32}",64052.6,1700,2472.8,1.47,0.97,16842.21
100,20.0,"{'mine': 64}",128476.0,1500,2294.0,1.50,0.96,19394.56
100,20.0,"{'mine': 128}",255915.2,1500,2062.8,1.38,0.96,20504.65
