node_count,simulation_time,sim_params,total_tx_created,total_slots,total_tx_in_all_slots,avg_txs_per_slot,avg_inter_slot_time,messages_per_slot_finalisation
100,5.0,"{'mine': 1}",988,200,171,0.85,0.75,31022.00
100,20.0,"{'mine': 2}",3983,1500,2761,1.84,1.16,20302.07
100,20.0,"{'mine': 4}",8024,1800,2612,1.45,0.82,15254.33
100,20.0,"{'mine': 8}",16013,1400,2311,1.65,1.00,23328.57
100,20.0,"{'mine': 16}",32118,1600,2293,1.43,0.93,17577.12
100,20.0,"{'mine': 32}",64028,1700,2420,1.42,0.97,16683.00
100,20.0,"{'mine': 64}",128438,1500,2287,1.52,1.03,19503.00
100,20.0,"{'mine': 128}",256009,1300,2147,1.65,1.00,22860.54
