node_count,simulation_time,sim_params,total_tx_created,total_slots,total_tx_in_all_slots,avg_txs_per_slot,avg_inter_slot_time,messages_per_slot_finalisation
104,20,"{'mine': 1}",546,7,56,8.00,0.73,7997.00
104,20,"{'mine': 2}",956,7,121,17.29,0.59,8531.00
104,20,"{'mine': 4}",2139,5,175,35.00,0.69,12312.20
104,20,"{'mine': 8}",4107,5,376,75.20,0.68,12710.40
104,20,"{'mine': 16}",8527,4,740,185.00,0.84,16433.50
104,20,"{'mine': 32}",17023,3,601,200.33,1.02,20806.00
104,20,"{'mine': 64}",33674,3,600,200.00,1.19,22127.00
104,20,"{'mine': 128}",66900,4,727,181.75,0.79,14784.50
