node_count,simulation_time,sim_params,total_tx_created,total_slots,total_tx_in_all_slots,avg_txs_per_slot,avg_inter_slot_time,messages_per_slot_finalisation
104,20,"{'mine': 1}",525,10,66,6.60,0.39,5846.90
104,20,"{'mine': 2}",1053,6,70,11.67,0.72,10668.33
104,20,"{'mine': 4}",2064,4,90,22.50,0.55,14994.75
104,20,"{'mine': 8}",4163,4,307,76.75,0.95,17149.25
104,20,"{'mine': 16}",8442,5,620,124.00,0.70,12678.80
104,20,"{'mine': 32}",16720,5,866,173.20,0.81,12500.40
104,20,"{'mine': 64}",33689,3,762,254.00,0.70,19767.00
104,20,"{'mine': 128}",66745,3,691,230.33,1.23,19873.67
