node_count,simulation_time,sim_params,total_tx_created,total_slots,total_tx_in_all_slots,avg_txs_per_slot,avg_inter_slot_time,messages_per_slot_finalisation
104,20,"{'mine': 1}",503,6,59,9.83,0.67,8785.50
104,20,"{'mine': 2}",1011,6,63,10.50,0.53,9865.50
104,20,"{'mine': 4}",2096,6,148,24.67,0.59,10275.17
104,20,"{'mine': 8}",4087,5,290,58.00,0.77,12596.00
104,20,"{'mine': 16}",8234,3,535,178.33,1.10,20511.67
104,20,"{'mine': 32}",16817,3,835,278.33,1.54,21320.33
104,20,"{'mine': 64}",33565,4,800,200.00,0.71,15690.75
104,20,"{'mine': 128}",67074,5,801,160.20,0.78,13032.60
