node_count,simulation_time,sim_params,total_tx_created,total_slots,total_tx_in_all_slots,avg_txs_per_slot,avg_inter_slot_time,messages_per_slot_finalisation
50,12.5,"{'mine': 1}",661,350,503,1.44,1.32,11945.43
50,10.0,"{'mine': 2}",959,150,577,3.85,1.56,24423.33
50,10.0,"{'mine': 4}",2036,50,200,4.00,0.00,74489.00
50,10.0,"{'mine': 8}",4034,200,600,3.00,0.95,17807.25
50,10.0,"{'mine': 16}",8077,100,400,4.00,1.93,33324.00
50,10.0,"{'mine': 32}",16022,150,600,4.00,0.75,24192.00
50,10.0,"{'mine': 64}",32129,200,600,3.00,1.21,17654.50
50,10.0,"{'mine': 128}",63970,100,400,4.00,4.77,40368.00
