node_count,simulation_time,sim_params,total_tx_created,total_slots,total_tx_in_all_slots,avg_txs_per_slot,avg_inter_slot_time,messages_per_slot_finalisation
50,50.0,"{'mine': 1}",2477,1700,2358,1.39,1.36,11699.65
50,10.0,"{'mine': 2}",938,350,443,1.27,0.92,9030.14
50,10.0,"{'mine': 4}",1907,250,837,3.35,1.13,13083.80
50,10.0,"{'mine': 8}",3921,450,1494,3.32,0.77,7135.00
50,10.0,"{'mine': 16}",7884,450,1264,2.81,0.82,7252.44
50,10.0,"{'mine': 32}",15951,500,1623,3.25,0.65,6350.30
50,10.0,"{'mine': 64}",32149,500,1375,2.75,0.69,6525.80
50,10.0,"{'mine': 128}",63498,400,1263,3.16,0.82,8274.88

