node_count,simulation_time,sim_params,total_tx_created,main_chain_length,total_tx_in_mainchain,total_stale_blocks,avg_depth_stale_blocks,avg_inter_block_time,avg_messages_per_block
12,100.0,"{""n_nodes"": 12, ""sim_duration"": 100.0, ""mine"": 0.25}",1193,108,1081,0,0.00,0.44,1079.19
25,100.0,"{""n_nodes"": 25, ""sim_duration"": 100.0, ""mine"": 0.25}",2260,224,2059,0,0.00,0.46,1109.44
50,100.0,"{""n_nodes"": 50, ""sim_duration"": 100.0, ""mine"": 0.25}",4096,383,3542,1,1.00,0.60,1300.44
100,100.0,"{""n_nodes"": 100, ""sim_duration"": 100.0, ""mine"": 0.25}",6541,612,5497,3,1.00,1.18,1625.13
200,100.0,"{""n_nodes"": 200, ""sim_duration"": 100.0, ""mine"": 0.25}",9645,865,7578,6,1.12,4.33,2307.92
400,100.0,"{""n_nodes"": 400, ""sim_duration"": 100.0, ""mine"": 0.25}",13546,1054,9344,6,1.00,21.00,3725.67
800,25.0,"{""n_nodes"": 800, ""sim_duration"": 25.0, ""mine"": 0.25}",9840,302,2041,21,1.57,8.72,6360.30
1600,10.0,"{""n_nodes"": 1600, ""sim_duration"": 10.0, ""mine"": 0.25}",10791,126,454,46,5.28,11.58,11806.44
