node_count,simulation_time,sim_params,total_tx_created,total_slots,total_tx_in_all_slots,avg_txs_per_slot,avg_inter_slot_time,messages_per_slot
50,50.0,"{'mine': 1}",2452,100,374,3.74,17.99,380181.50
50,20.0,"{'mine': 2}",2047,100,400,4.00,3.44,82821.50
50,20.0,"{'mine': 4}",4031,100,236,2.36,3.49,92416.00
50,20.0,"{'mine': 8}",8064,100,238,2.38,2.33,89827.50
50,20.0,"{'mine': 16}",16020,100,400,4.00,3.00,79178.00
50,20.0,"{'mine': 32}",32488,100,230,2.30,2.74,73027.50
50,20.0,"{'mine': 64}",64168,50,200,4.00,0.00,189135.00
50,20.0,"{'mine': 128}",127701,100,221,2.21,2.60,75182.00
