node_count,simulation_time,sim_params,total_tx_created,total_slots,total_tx_in_all_slots,avg_txs_per_slot,avg_inter_slot_time,messages_per_slot
50,50.0,"{'mine': 1}",2620,100,371,3.71,14.45,598004.50
50,20.0,"{'mine': 2}",2027.8,100,400,4.00,4.67,92863.1
50,20.0,"{'mine': 4}",4027.4,100,369.6,3.70,3.51,84942.2
50,20.0,"{'mine': 8}",8056.2,100,234,2.34,2.47,85727.5
50,20.0,"{'mine': 16}",16045.6,100,400,4.00,3.14,83786.6
50,20.0,"{'mine': 32}",32330.4,100,334,3.34,3.22,78435.3
50,20.0,"{'mine': 64}",64196.8,50,320,6.40,1.39,108243.6
50,20.0,"{'mine': 128}",127745.6,100,288.6,2.88,2.99,81237.6
