node_count,simulation_time,sim_params,total_tx_created,main_chain_length,total_tx_in_mainchain,total_stale_blocks,avg_depth_stale_blocks,avg_blocks_per_node,avg_inter_block_time,avg_messages_per_block
50,25.0,"{'mine': 1}",1247,86,1215,1,1.00,1.72,1.08,1359.47
50,25.0,"{'mine': 2}",2461,90,2381,0,0.00,1.80,5.44,1396.39
50,25.0,"{'mine': 4}",5026,95,4334,0,0.00,1.90,39.04,1352.60
50,10.0,"{'mine': 8}",3927,31,3553,2,1.00,0.62,58.25,1613.23
50,2.5,"{'mine': 16}",1915,9,1409,2,1.00,0.18,10.89,1493.56
50,2.5,"{'mine': 32}",3893,11,2200,1,1.00,0.22,95.43,1215.27
50,2.5,"{'mine': 64}",7857,11,2002,0,0.00,0.22,1203.35,1732.73
50,1.0,"{'mine': 128}",6448,1,240,2,1.00,0.02,0,9216.00
